VARIABLES= "Y","Cl"
50000000.0000 0.1364
150000000.0000 0.1364
250000000.0000 0.1364
350000000.0000 0.1364
450000000.0000 0.1364
550000000.0000 0.1364
650000000.0000 0.1364
750000000.0000 0.1364
850000000.0000 0.1364
950000000.0000 0.1364
1050000000.0000 0.1364
1150000000.0000 0.1364
1250000000.0000 0.1364
1350000000.0000 0.1364
1450000000.0000 0.1364
1550000000.0000 0.1364
1650000000.0000 0.1364
1750000000.0000 0.1364
1850000000.0000 0.1364
1950000000.0000 0.1364
2050000000.0000 0.1364
2150000000.0000 0.1364
2250000000.0000 0.1364
2350000000.0000 0.1364
2450000000.0000 0.1364
2550000000.0000 0.1364
2650000000.0000 0.1364
2750000000.0000 0.1364
2850000000.0000 0.1364
2950000000.0000 0.1364
3050000000.0000 0.1364
3150000000.0000 0.1364
3250000000.0000 0.1364
3350000000.0000 0.1364
3450000000.0000 0.1364
3550000000.0000 0.1364
3650000000.0000 0.1364
3750000000.0000 0.1364
3850000000.0000 0.1364
3950000000.0000 0.1364
4050000000.0000 0.1364
4150000000.0000 0.1364
4250000000.0000 0.1364
4350000000.0000 0.1364
4450000000.0000 0.1364
4550000000.0000 0.1364
4650000000.0000 0.1364
4750000000.0000 0.1364
4850000000.0000 0.1364
4950000000.0000 0.1364
