VARIABLES= "Y","Cl"
0.0200 0.1846
0.0600 0.1840
0.1000 0.1831
0.1400 0.1819
0.1800 0.1804
0.2200 0.1788
0.2600 0.1770
0.3000 0.1750
0.3400 0.1730
0.3800 0.1709
0.4200 0.1687
0.4600 0.1664
0.5000 0.1642
0.5400 0.1619
0.5800 0.1597
0.6200 0.1575
0.6600 0.1553
0.7000 0.1531
0.7400 0.1509
0.7800 0.1488
0.8200 0.1467
0.8600 0.1445
0.9000 0.1424
0.9400 0.1403
0.9800 0.1382
1.0200 0.1361
1.0600 0.1339
1.1000 0.1317
1.1400 0.1295
1.1800 0.1272
1.2200 0.1249
1.2600 0.1225
1.3000 0.1200
1.3400 0.1174
1.3800 0.1147
1.4200 0.1118
1.4600 0.1088
1.5000 0.1057
1.5400 0.1023
1.5800 0.0988
1.6200 0.0949
1.6600 0.0908
1.7000 0.0863
1.7400 0.0814
1.7800 0.0759
1.8200 0.0698
1.8600 0.0628
1.9000 0.0545
1.9400 0.0441
1.9800 0.0298
