VARIABLES= "Y","Cl"
0.0400 0.1388
0.1200 0.1413
0.2000 0.1439
0.2800 0.1464
0.3600 0.1487
0.4400 0.1509
0.5200 0.1528
0.6000 0.1545
0.6800 0.1561
0.7600 0.1576
0.8400 0.1589
0.9200 0.1601
1.0000 0.1612
1.0800 0.1622
1.1600 0.1631
1.2400 0.1640
1.3200 0.1648
1.4000 0.1655
1.4800 0.1661
1.5600 0.1667
1.6400 0.1672
1.7200 0.1677
1.8000 0.1681
1.8800 0.1684
1.9600 0.1687
2.0400 0.1690
2.1200 0.1692
2.2000 0.1693
2.2800 0.1694
2.3600 0.1693
2.4400 0.1692
2.5200 0.1691
2.6000 0.1688
2.6800 0.1683
2.7600 0.1678
2.8400 0.1670
2.9200 0.1661
3.0000 0.1649
3.0800 0.1633
3.1600 0.1614
3.2400 0.1589
3.3200 0.1557
3.4000 0.1516
3.4800 0.1465
3.5600 0.1399
3.6400 0.1315
3.7200 0.1207
3.8000 0.1067
3.8800 0.0879
3.9600 0.0603
