VARIABLES= "Y","Cl"
0.0364 0.1889
0.1092 0.1921
0.1820 0.1950
0.2548 0.1977
0.3276 0.2003
0.4004 0.2027
0.4732 0.2051
0.5460 0.2073
0.6188 0.2095
0.6916 0.2116
0.7644 0.2137
0.8372 0.2156
0.9100 0.2176
0.9828 0.2195
1.0556 0.2213
1.1284 0.2232
1.2012 0.2249
1.2740 0.2267
1.3468 0.2284
1.4196 0.2301
1.4924 0.2318
1.5652 0.2335
1.6380 0.2352
1.7108 0.2368
1.7836 0.2385
1.8564 0.2401
1.9292 0.2418
2.0020 0.2434
2.0748 0.2451
2.1476 0.2468
2.2204 0.2485
2.2932 0.2502
2.3660 0.2520
2.4388 0.2538
2.5116 0.2556
2.5844 0.2575
2.6572 0.2595
2.7300 0.2616
2.8028 0.2638
2.8756 0.2661
2.9484 0.2685
3.0212 0.2712
3.0940 0.2741
3.1668 0.2774
3.2396 0.2812
3.3124 0.2856
3.3852 0.2911
3.4580 0.2986
3.5308 0.3104
3.6036 0.3419
