VARIABLES= "Y","Cl"
0.0364 0.2283
0.1092 0.2283
0.1820 0.2282
0.2548 0.2281
0.3276 0.2279
0.4004 0.2277
0.4732 0.2275
0.5460 0.2272
0.6188 0.2269
0.6916 0.2265
0.7644 0.2261
0.8372 0.2257
0.9100 0.2252
0.9828 0.2247
1.0556 0.2241
1.1284 0.2234
1.2012 0.2227
1.2740 0.2219
1.3468 0.2211
1.4196 0.2202
1.4924 0.2192
1.5652 0.2181
1.6380 0.2170
1.7108 0.2158
1.7836 0.2144
1.8564 0.2130
1.9292 0.2114
2.0020 0.2098
2.0748 0.2079
2.1476 0.2060
2.2204 0.2039
2.2932 0.2015
2.3660 0.1990
2.4388 0.1963
2.5116 0.1933
2.5844 0.1901
2.6572 0.1865
2.7300 0.1826
2.8028 0.1782
2.8756 0.1734
2.9484 0.1681
3.0212 0.1621
3.0940 0.1554
3.1668 0.1477
3.2396 0.1389
3.3124 0.1287
3.3852 0.1167
3.4580 0.1020
3.5308 0.0833
3.6036 0.0566
