VARIABLES= "Y","Cl"
0.0728 0.2237
0.2184 0.2251
0.3640 0.2264
0.5096 0.2275
0.6552 0.2285
0.8008 0.2294
0.9464 0.2303
1.0920 0.2311
1.2376 0.2318
1.3832 0.2324
1.5288 0.2330
1.6744 0.2335
1.8200 0.2340
1.9656 0.2345
2.1112 0.2348
2.2568 0.2352
2.4024 0.2354
2.5480 0.2357
2.6936 0.2358
2.8392 0.2359
2.9848 0.2360
3.1304 0.2360
3.2760 0.2359
3.4216 0.2358
3.5672 0.2356
3.7128 0.2353
3.8584 0.2349
4.0040 0.2344
4.1496 0.2338
4.2952 0.2332
4.4408 0.2323
4.5864 0.2314
4.7320 0.2302
4.8776 0.2289
5.0232 0.2274
5.1688 0.2256
5.3144 0.2236
5.4600 0.2212
5.6056 0.2183
5.7512 0.2150
5.8968 0.2111
6.0424 0.2065
6.1880 0.2009
6.3336 0.1942
6.4792 0.1860
6.6248 0.1757
6.7704 0.1627
6.9160 0.1455
7.0616 0.1217
7.2072 0.0851
