VARIABLES= "Y","Cl"
0.0728 0.2524
0.2184 0.2524
0.3640 0.2523
0.5096 0.2523
0.6552 0.2522
0.8008 0.2521
0.9464 0.2519
1.0920 0.2518
1.2376 0.2516
1.3832 0.2514
1.5288 0.2512
1.6744 0.2510
1.8200 0.2507
1.9656 0.2504
2.1112 0.2501
2.2568 0.2497
2.4024 0.2493
2.5480 0.2489
2.6936 0.2484
2.8392 0.2479
2.9848 0.2473
3.1304 0.2467
3.2760 0.2460
3.4216 0.2453
3.5672 0.2445
3.7128 0.2436
3.8584 0.2426
4.0040 0.2416
4.1496 0.2404
4.2952 0.2391
4.4408 0.2377
4.5864 0.2362
4.7320 0.2345
4.8776 0.2325
5.0232 0.2304
5.1688 0.2280
5.3144 0.2253
5.4600 0.2223
5.6056 0.2188
5.7512 0.2148
5.8968 0.2103
6.0424 0.2050
6.1880 0.1987
6.3336 0.1913
6.4792 0.1825
6.6248 0.1716
6.7704 0.1580
6.9160 0.1405
7.0616 0.1168
7.2072 0.0810
