VARIABLES= "Y","Cl"
0.1099 0.2435
0.3297 0.2435
0.5491 0.2435
0.7680 0.2435
0.9862 0.2435
1.2034 0.2435
1.4193 0.2435
1.6339 0.2435
1.8469 0.2435
2.0580 0.2435
2.2671 0.2435
2.4740 0.2435
2.6785 0.2435
2.8802 0.2435
3.0792 0.2435
3.2751 0.2435
3.4678 0.2435
3.6570 0.2435
3.8427 0.2435
4.0245 0.2435
4.2024 0.2435
4.3762 0.2435
4.5456 0.2435
4.7105 0.2435
4.8708 0.2435
5.0263 0.2435
5.1768 0.2435
5.3222 0.2435
5.4623 0.2435
5.5971 0.2434
5.7263 0.2434
5.8499 0.2434
5.9677 0.2434
6.0797 0.2434
6.1856 0.2434
6.2854 0.2434
6.3790 0.2434
6.4664 0.2434
6.5473 0.2433
6.6218 0.2433
6.6897 0.2431
6.7511 0.2429
6.8057 0.2425
6.8537 0.2416
6.8949 0.2401
6.9293 0.2370
6.9569 0.2304
6.9776 0.2159
6.9914 0.1835
6.9983 0.1233
