VARIABLES= "Y","Cl"
0.0750 0.0000
0.2250 0.0000
0.3750 0.0000
0.5250 0.0000
0.6750 0.0000
0.8250 0.0000
0.9750 0.0000
1.1250 0.0000
1.2750 0.0000
1.4250 0.0000
1.5750 0.0000
1.7250 0.0000
1.8750 0.0000
2.0250 0.0000
2.1750 0.0000
2.3250 0.0000
2.4750 0.0000
2.6250 0.0000
2.7750 0.0000
2.9250 0.0000
3.0750 0.0000
3.2250 0.0000
3.3750 0.0000
3.5250 0.0000
3.6750 0.0000
3.8250 0.0000
3.9750 0.0000
4.1250 0.0000
4.2750 0.0000
4.4250 0.0000
4.5750 0.0000
4.7250 0.0000
4.8750 0.0000
5.0250 0.0000
5.1750 0.0000
5.3250 0.0000
5.4750 0.0000
5.6250 0.0000
5.7750 0.0000
5.9250 0.0000
6.0750 0.0000
6.2250 0.0000
6.3750 0.0000
6.5250 0.0000
6.6750 0.0000
6.8250 0.0000
6.9750 0.0000
7.1250 0.0000
7.2750 0.0000
7.4250 0.0000
