VARIABLES= "Y","Cl"
0.1571 -0.6742
0.4710 -0.7057
0.7845 -0.7285
1.0972 -0.7442
1.4088 -0.7547
1.7191 -0.7613
2.0276 -0.7650
2.3342 -0.7665
2.6384 -0.7663
2.9400 -0.7647
3.2388 -0.7620
3.5343 -0.7584
3.8264 -0.7542
4.1146 -0.7493
4.3988 -0.7440
4.6787 -0.7382
4.9540 -0.7322
5.2243 -0.7260
5.4896 -0.7195
5.7493 -0.7130
6.0035 -0.7063
6.2517 -0.6996
6.4937 -0.6928
6.7293 -0.6860
6.9583 -0.6792
7.1804 -0.6725
7.3954 -0.6658
7.6031 -0.6591
7.8033 -0.6525
7.9959 -0.6459
8.1805 -0.6393
8.3570 -0.6326
8.5253 -0.6259
8.6852 -0.6191
8.8366 -0.6119
8.9792 -0.6043
9.1129 -0.5961
9.2377 -0.5867
9.3533 -0.5758
9.4597 -0.5625
9.5568 -0.5458
9.6444 -0.5243
9.7225 -0.4964
9.7910 -0.4606
9.8499 -0.4161
9.8990 -0.3629
9.9384 -0.3019
9.9679 -0.2349
9.9877 -0.1640
9.9975 -0.0955
