"taper_ratio"	"alphaRange"	"sweep"	"AR"	"2y/b"	"cl/CL"
1	10	7.28	9	0.01	1.1041758478513986
1	10	7.28	9	0.030000000000000002	1.106274859143717
1	10	7.28	9	0.05	1.1086621005092954
1	10	7.28	9	0.07	1.111008324095325
1	10	7.28	9	0.09	1.1131760075892878
1	10	7.28	9	0.10999999999999999	1.1150964777622194
1	10	7.28	9	0.13	1.1167347688151905
1	10	7.28	9	0.14999999999999997	1.1180740695845603
1	10	7.28	9	0.16999999999999998	1.119107530018302
1	10	7.28	9	0.18999999999999995	1.1198335618412945
1	10	7.28	9	0.20999999999999996	1.1202530157935098
1	10	7.28	9	0.22999999999999993	1.1203674405249406
1	10	7.28	9	0.25	1.1201779896590518
1	10	7.28	9	0.26999999999999996	1.1196847236920757
1	10	7.28	9	0.29000000000000004	1.1188861517469841
1	10	7.28	9	0.31	1.1177789153594848
1	10	7.28	9	0.33000000000000007	1.1163575510247838
1	10	7.28	9	0.35000000000000003	1.1146142895553264
1	10	7.28	9	0.3700000000000001	1.1125388635105695
1	10	7.28	9	0.39000000000000007	1.1101183020184828
1	10	7.28	9	0.41000000000000014	1.1073366969869818
1	10	7.28	9	0.4300000000000001	1.104174927077466
1	10	7.28	9	0.4500000000000002	1.1006103265276177
1	10	7.28	9	0.47000000000000014	1.0966162853312205
1	10	7.28	9	0.4900000000000001	1.0921617655789668
1	10	7.28	9	0.5100000000000001	1.0872107159577449
1	10	7.28	9	0.53	1.0817213623902087
1	10	7.28	9	0.55	1.0756453473361565
1	10	7.28	9	0.57	1.0689266829876318
1	10	7.28	9	0.59	1.061500473893058
1	10	7.28	9	0.6099999999999999	1.0532913515964655
1	10	7.28	9	0.6299999999999999	1.0442115464394748
1	10	7.28	9	0.6499999999999999	1.034158497917645
1	10	7.28	9	0.6699999999999998	1.0230118721550865
1	10	7.28	9	0.6899999999999998	1.010629808913611
1	10	7.28	9	0.7099999999999997	0.9968441543447664
1	10	7.28	9	0.7299999999999998	0.9814543383804141
1	10	7.28	9	0.7499999999999997	0.9642194084865464
1	10	7.28	9	0.7699999999999997	0.9448475013735858
1	10	7.28	9	0.7899999999999996	0.9229816602490781
1	10	7.28	9	0.8099999999999996	0.8981802700924097
1	10	7.28	9	0.8299999999999996	0.8698892503868849
1	10	7.28	9	0.8499999999999995	0.8374010083661452
1	10	7.28	9	0.8699999999999996	0.7997908664435746
1	10	7.28	9	0.8899999999999996	0.7558124074008022
1	10	7.28	9	0.9099999999999996	0.7037112507395153
1	10	7.28	9	0.9299999999999995	0.6408584335098156
1	10	7.28	9	0.9499999999999995	0.5629221438465621
1	10	7.28	9	0.9699999999999994	0.4615715845165797
1	10	7.28	9	0.9899999999999994	0.3153872706782271
1	10	7.28	7	0.01	1.1293892278569257
1	10	7.28	7	0.030000000000000002	1.1308433293867608
1	10	7.28	7	0.05	1.132502975217421
1	10	7.28	7	0.07	1.1341194614104742
1	10	7.28	7	0.09000000000000001	1.1355843513508204
1	10	7.28	7	0.11	1.1368369520728598
1	10	7.28	7	0.13000000000000003	1.1378401053904508
1	10	7.28	7	0.15	1.1385699951151655
1	10	7.28	7	0.17	1.139010745669416
1	10	7.28	7	0.19000000000000003	1.139151203934589
1	10	7.28	7	0.21000000000000005	1.1389828838000917
1	10	7.28	7	0.23000000000000007	1.1384985897419302
1	10	7.28	7	0.2500000000000001	1.1376914603665018
1	10	7.28	7	0.27000000000000013	1.13655428054384
1	10	7.28	7	0.29000000000000015	1.135078967648165
1	10	7.28	7	0.3100000000000001	1.1332561697933308
1	10	7.28	7	0.3300000000000002	1.1310749334311823
1	10	7.28	7	0.35000000000000014	1.1285224098672206
