VARIABLES= "Y","Cl"
0.0400 0.2326
0.1200 0.2326
0.2000 0.2325
0.2800 0.2324
0.3600 0.2323
0.4400 0.2321
0.5200 0.2319
0.6000 0.2316
0.6800 0.2313
0.7600 0.2310
0.8400 0.2306
0.9200 0.2302
1.0000 0.2297
1.0800 0.2292
1.1600 0.2286
1.2400 0.2280
1.3200 0.2274
1.4000 0.2266
1.4800 0.2258
1.5600 0.2250
1.6400 0.2241
1.7200 0.2231
1.8000 0.2220
1.8800 0.2208
1.9600 0.2195
2.0400 0.2182
2.1200 0.2167
2.2000 0.2151
2.2800 0.2133
2.3600 0.2115
2.4400 0.2094
2.5200 0.2072
2.6000 0.2047
2.6800 0.2021
2.7600 0.1992
2.8400 0.1960
2.9200 0.1925
3.0000 0.1886
3.0800 0.1844
3.1600 0.1796
3.2400 0.1743
3.3200 0.1683
3.4000 0.1615
3.4800 0.1538
3.5600 0.1449
3.6400 0.1345
3.7200 0.1221
3.8000 0.1069
3.8800 0.0874
3.9600 0.0596
