VARIABLES= "Y","Cl"
0.0364 0.1877
0.1092 0.1890
0.1820 0.1902
0.2548 0.1913
0.3276 0.1923
0.4004 0.1932
0.4732 0.1940
0.5460 0.1948
0.6188 0.1956
0.6916 0.1962
0.7644 0.1968
0.8372 0.1974
0.9100 0.1979
0.9828 0.1983
1.0556 0.1986
1.1284 0.1989
1.2012 0.1992
1.2740 0.1993
1.3468 0.1994
1.4196 0.1995
1.4924 0.1994
1.5652 0.1993
1.6380 0.1991
1.7108 0.1987
1.7836 0.1983
1.8564 0.1978
1.9292 0.1972
2.0020 0.1965
2.0748 0.1956
2.1476 0.1946
2.2204 0.1934
2.2932 0.1920
2.3660 0.1905
2.4388 0.1887
2.5116 0.1867
2.5844 0.1844
2.6572 0.1818
2.7300 0.1789
2.8028 0.1755
2.8756 0.1717
2.9484 0.1673
3.0212 0.1623
3.0940 0.1565
3.1668 0.1497
3.2396 0.1418
3.3124 0.1323
3.3852 0.1208
3.4580 0.1064
3.5308 0.0876
3.6036 0.0601
