VARIABLES= "Y","Cl"
0.0728 0.1599
0.2184 0.1632
0.3640 0.1666
0.5096 0.1702
0.6552 0.1739
0.8008 0.1779
0.9464 0.1819
1.0920 0.1862
1.2376 0.1907
1.3832 0.1954
1.5288 0.2004
1.6744 0.2056
1.8200 0.2111
1.9656 0.2168
2.1112 0.2229
2.2568 0.2294
2.4024 0.2363
2.5480 0.2435
2.6936 0.2513
2.8392 0.2595
2.9848 0.2683
3.1304 0.2777
3.2760 0.2878
3.4216 0.2987
3.5672 0.3104
3.7128 0.3230
3.8584 0.3368
4.0040 0.3518
4.1496 0.3681
4.2952 0.3861
4.4408 0.4059
4.5864 0.4278
4.7320 0.4523
4.8776 0.4797
5.0232 0.5106
5.1688 0.5458
5.3144 0.5863
5.4600 0.6332
5.6056 0.6882
5.7512 0.7538
5.8968 0.8331
6.0424 0.9311
6.1880 1.0553
6.3336 1.2176
6.4792 1.4390
6.6248 1.7588
6.7704 2.2613
6.9160 3.1659
7.0616 5.2764
7.2072 15.8292
