VARIABLES= "Y","Cl"
0.0628 0.2226
0.1884 0.2226
0.3138 0.2226
0.4389 0.2226
0.5635 0.2226
0.6876 0.2226
0.8110 0.2226
0.9337 0.2226
1.0554 0.2226
1.1760 0.2226
1.2955 0.2226
1.4137 0.2226
1.5305 0.2225
1.6459 0.2225
1.7595 0.2225
1.8715 0.2225
1.9816 0.2225
2.0897 0.2225
2.1958 0.2225
2.2997 0.2224
2.4014 0.2224
2.5007 0.2224
2.5975 0.2224
2.6917 0.2223
2.7833 0.2223
2.8722 0.2223
2.9582 0.2222
3.0412 0.2222
3.1213 0.2222
3.1983 0.2221
3.2722 0.2221
3.3428 0.2220
3.4101 0.2219
3.4741 0.2219
3.5346 0.2218
3.5917 0.2217
3.6452 0.2215
3.6951 0.2214
3.7413 0.2212
3.7839 0.2209
3.8227 0.2206
3.8578 0.2201
3.8890 0.2193
3.9164 0.2182
3.9400 0.2162
3.9596 0.2127
3.9754 0.2061
3.9872 0.1923
3.9951 0.1627
3.9990 0.1091
